ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,btc_halving,btc_halving_lower,btc_halving_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,yhat_moving_avg_7,yhat_moving_avg_14,yhat_moving_avg_28,yhat_moving_avg_90
2025-11-16,94728.87920570443,68839.98285910676,134120.08730386553,94728.87920570443,94728.87920570443,0.0,0.0,0.0,0.0,0.0,0.0,0.09181165210330601,0.09181165210330601,0.09181165210330601,0.011606823199443542,0.011606823199443542,0.011606823199443542,0.08020482890386245,0.08020482890386245,0.08020482890386245,0.0,0.0,0.0,103426.09410747468,102765.37289656639,102719.81252638204,102420.28566552851,103491.52954916483
2025-11-17,94763.58127318718,73105.68071554891,134814.2172141495,94763.58127318718,94763.58127318718,0.0,0.0,0.0,0.0,0.0,0.0,0.07717817323489214,0.07717817323489214,0.07717817323489214,-1.925713156593694e-05,-1.925713156593694e-05,-1.925713156593694e-05,0.07719743036645808,0.07719743036645808,0.07719743036645808,0.0,0.0,0.0,102077.261365048,102633.62475858822,102705.013165716,102382.00602169563,103548.17362619554
2025-11-18,94798.28334066996,68624.08883063133,134302.04469228676,94798.28334066996,94798.28334066996,0.0,0.0,0.0,0.0,0.0,0.0,0.07273475319528264,0.07273475319528264,0.07273475319528264,-0.001129316624139053,-0.001129316624139053,-0.001129316624139053,0.0738640698194217,0.0738640698194217,0.0738640698194217,0.0,0.0,0.0,101693.41308279007,102463.6105745838,102659.75379423586,102345.40080141407,103593.49185811784
2025-11-19,94832.98540815272,67466.32591461176,133284.8127116686,94832.98540815272,94832.98540815272,0.0,0.0,0.0,0.0,0.0,0.0,0.06540619032446716,0.06540619032446716,0.06540619032446716,-0.0048492214220376235,-0.0048492214220376235,-0.0048492214220376235,0.07025541174650478,0.07025541174650478,0.07025541174650478,0.0,0.0,0.0,101035.64970079577,102257.19657882939,102582.33814722668,102308.1355400187,103627.06578216485
2025-11-20,94867.68747563548,70200.74067604559,131502.18656442067,94867.68747563548,94867.68747563548,0.0,0.0,0.0,0.0,0.0,0.0,0.06743714929246465,0.06743714929246465,0.06743714929246465,0.0010087538999917617,0.0010087538999917617,0.0010087538999917617,0.06642839539247289,0.06642839539247289,0.06642839539247289,0.0,0.0,0.0,101265.29387896079,102017.62019400872,102472.39364947891,102268.325500995,103649.08472571777
2025-11-21,94902.38954311822,69118.24730941256,133538.95469918786,94902.38954311822,94902.38954311822,0.0,0.0,0.0,0.0,0.0,0.0,0.05641362375471515,0.05641362375471515,0.05641362375471515,-0.006030830227511213,-0.006030830227511213,-0.006030830227511213,0.06244445398222636,0.06244445398222636,0.06244445398222636,0.0,0.0,0.0,100256.17724022709,101748.18339313692,102329.66966346763,102223.39343643059,103659.13342778737
2025-11-22,94937.09161060098,65622.76381112999,134035.1450292832,94937.09161060098,94937.09161060098,0.0,0.0,0.0,0.0,0.0,0.0,0.05778069323799761,0.05778069323799761,0.05778069323799761,-0.0005869516941889103,-0.0005869516941889103,-0.0005869516941889103,0.05836764493218652,0.05836764493218652,0.05836764493218652,0.0,0.0,0.0,100422.62257786079,101453.7874218796,102155.67343970663,102171.7872185881,103657.86994607816
2025-11-23,94971.79367808375,69960.93348719532,134806.34379472258,94971.79367808375,94971.79367808375,0.0,0.0,0.0,0.0,0.0,0.0,0.06586957199522835,0.06586957199522835,0.06586957199522835,0.011606823199430256,0.011606823199430256,0.011606823199430256,0.05426274879579809,0.05426274879579809,0.05426274879579809,0.0,0.0,0.0,101227.54507927825,101139.70898928009,101952.54094292327,102111.9517911737,103645.92760059136
2025-11-24,95006.49574556651,68675.69609691876,131617.05711655796,95006.49574556651,95006.49574556651,0.0,0.0,0.0,0.0,0.0,0.0,0.0501741374694676,0.0501741374694676,0.0501741374694676,-1.9257131531396034e-05,-1.9257131531396034e-05,-1.9257131531396034e-05,0.050193394600998996,0.050193394600998996,0.050193394600998996,0.0,0.0,0.0,99773.36472359695,100810.58089764423,101722.10282811624,102041.51245955577,103623.03238008839
2025-11-25,95041.19781304926,69083.28661033702,129400.42169805271,95041.19781304926,95041.19781304926,0.0,0.0,0.0,0.0,0.0,0.0,0.04509095077999652,0.04509095077999652,0.04509095077999652,-0.0011293166241391791,-0.0011293166241391791,-0.0011293166241391791,0.0462202674041357,0.0462202674041357,0.0462202674041357,0.0,0.0,0.0,99326.6957857094,100472.47842663272,101468.04450060826,101959.56477218962,103590.26470725075
2025-11-26,95075.89988053203,65560.88234722182,130099.68957880983,95075.89988053203,95075.89988053203,0.0,0.0,0.0,0.0,0.0,0.0,0.03755022895517311,0.03755022895517311,0.03755022895517311,-0.00484922142203108,-0.00484922142203108,-0.00484922142203108,0.04239945037720419,0.04239945037720419,0.04239945037720419,0.0,0.0,0.0,98646.0216891651,100131.10299639977,101194.14978761457,101865.05652609504,103548.37451448305
