ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2022-11-19,16988.583333333332,16719.044971499763,16727.02478921418,16757.19612677996,18946.22702874534
2022-11-19,16633.210377911233,16680.32739445287,16716.43163486085,16758.96684813374,18970.537842779508
2022-11-19,16645.662992125985,16705.83630150451,16779.05946501005,16768.20040606548,18996.803853411715
2022-11-19,16898.25,16696.266780084068,16791.3603134368,16787.808033962665,19022.840792001214
2022-11-18,16720.645646721605,16652.475796049843,16798.347558334757,16785.477676819806,19046.03245866788
2022-11-18,15899.022151898735,16642.22358797497,16778.947899197145,16794.255397936195,19072.71903938657
2022-11-18,17247.940298507463,16816.873846917584,16800.45822168057,16841.46591632076,19108.487940162093
2022-11-18,16717.560294005052,16735.004606928596,16809.671669746363,16837.189627384745,19130.177043011718
2022-11-17,16811.772727272728,16752.535875268837,16790.918452542748,16863.751192803986,19157.665174426453
2022-11-17,16578.67634218289,16852.282628515593,16775.225321283353,16881.89323825853,19186.694377541764
2022-11-17,16591.713111760408,16886.45384678953,16774.458866571185,16974.2170585326,19217.609084850843
2022-11-16,16648.880190197513,16944.219320619675,16772.73531096925,17070.29209089349,19248.59005027573
2022-11-16,17121.57396449704,16915.67221041932,16785.840627515765,17181.536629555267,19280.396689335474
2022-11-16,16674.85561858455,16784.042596443553,16762.664195917634,17246.00152043362,19306.081810748576
2022-11-15,16840.27917238674,16884.33873256413,16787.367464345734,17391.585590946182,19336.772542633273
2022-11-15,17510.0,16829.30102981666,16801.502061406627,17531.58454907523,19362.96570936024
2022-11-15,16817.874870100455,16698.16801405111,16757.341347120913,17657.370263360943,19381.846740750374
2022-11-15,16996.071428571428,16662.463886352838,16784.25575448853,17797.30639694923,19407.351727283167
2022-11-14,16449.05041879504,16601.25130131882,16772.607795304855,17946.770977490636,19430.95306201669
2022-11-14,16200.166666666666,16656.00904461221,16809.562896675245,18115.965205434448,19465.128643808035
2022-11-14,17376.928571428572,16741.28579539172,16882.47361096096,18315.30284911261,19504.699014178404
2022-11-14,16455.015253154448,16690.39619612734,16864.70758502313,18456.430769881725,19528.551188536694
2022-11-13,16592.068889641163,16773.703092996595,16936.583933065227,18657.150463221446,19564.606574612753
2022-11-13,16567.94597621254,16816.514680190714,16988.561155233714,18826.357899278428,19589.34792796544
2022-11-13,16567.583333333332,16906.04762262422,17173.975250494008,18989.35982869941,19614.793462684414
2022-11-12,16832.35462184874,16943.96428929089,17367.848870817736,19142.085058358203,19642.976167330467
2022-11-12,16797.103922123228,16963.11674873828,17577.23263159477,19282.332832814427,19668.134288112462
2022-11-11,17020.70137657795,17023.661426530198,17729.338844949605,19404.608455315774,19693.04980008887
